state,statelike
study,studious
task,tasked
portent,portentous
fire,fireproof
powder,powdery
monster,monstrous
video,visual
excitement,exciting
mystery,mysterious
hour,hourly
topic,topical
heart,cardiac
present,present
frost,frosty
reason,rational
politics,political
system,systematic
root,rooted
computer,computational
garden,gardened
answer,answered
bore,boring
need,needy
vote,votable
light,luminous
scorn,scorning
prejudice,prejudiced
method,methodical
window,windy
energy,energetic
war,warlike
evening,vespertine
road,roadside
sleep,sleepless
galaxy,galactic
material,materialistic
south,southern
rule,ruly
titan,titanic
beauty,beautiful
fabric,fabriclike
awe,awe-inspiring
foot,pedal
Mountain,Mountainous
sleep,sleepy
dawn,dawning
saga,sagalike
community,communal
mark,marked
insect,insectivorous
street,streetwise
zero,null
poverty,poor
victory,victorious
mind,mindful
acid,acidic
line,linear
breath,breathtaking
glamour,glamorous
sun,sunny
gene,genetic
liquid,liquidy
clay,clayey
signal,distinct
rebellion,rebellious
building,buildable
holiday,festive
mass,massive
sleep,somnolent
sweet,sweet
situation,situational
smell,smelly
label,descriptive
lesson,instructional
iron,ironic
cause,causal
neighbor,neighborly
Iron,Iron
herb,herbal
forest,arboreal
devil,devilish
image,visual
hypnosis,hypnotic
image,imaginary
song,songful
chaos,chaotic
depth,deep
game,gamely
charity,charitable
house,homely
nerve,nervy
title,titled
element,fundamental
smell,fragrant
style,stylish
box,boxy
tissue,tissue-specific
feeling,emotional
cat,catty
lumber,lumbering
bronze,bronze
factor,contributing
motion,motional
blood,bloody
good,good
device,devisable
animal,animalistic
price,priceless
house,residential
aggression,aggressive
excite,exciting
hospital,hospitalized
anthem,anthemic
fragment,fragmentary
error,erroneous
flower,floral
defeat,defeated
title,titular
paper,paper
cost,costly
heat,thermal
harmony,harmonious
bottom,bottomless
electricity,electric
number,numerical
dance,choreographic
place,local
sport,sporty
work,operational
adult,adult
ache,achy
wall,walled
pain,painful
garden,verdant
industry,industrious
desire,desirable
smoke,smoky
effort,effortless
fox,foxy
internet,online
language,linguistic
perfume,perfumed
research,empirical
thread,threadbare
dusk,dusky
width,wide
trust,trustful
plenty,plentiful
zenith,peak
film,cinematic
gold,golden
wealth,wealthy
winter,wintry
doubt,doubtful
right,right
fan,fanatical
metal,metallic
era,epochal
skin,skinny
information,informative
label,labeled
day,daily
jealousy,jealous
serenity,serene
teacher,didactic
direction,directional
cosmos,cosmic
choice,selective
paper,papery
food,nutritious
sense,sensible
life,lively
punishment,punitive
culture,cultural
drink,hydrating
shame,shameful
moment,momentous
Ice,Icy
country,domestic
state,static
job,jobless
fog,foggy
jest,jovial
nurse,nursing
Rust,Rusty
malice,malicious
earth,earthly
sketch,sketchy
speed,swift
spring,springtime
army,military
danger,dangerous
Cosmos,Cosmic
side,sided
world,global
state,stateful
light,lit
trade,tradable
luck,lucky
song,melodic
task,taxing
nature,natural
sound,acoustic
view,viewable
country,rural
dust,dusty
curiosity,curious
cookie,cookieless
move,moving
play,playful
Cloud,Cloudy
teen,teenage
game,gamified
infant,infantile
angle,angular
echo,echoing
actor,dramatic
orange,orangey
phone,telephonic
science,scientific
surface,shallow
dance,dancing
medicine,medicinal
town,urban
pattern,patterned
village,rustic
piece,piecemeal
scorn,scornful
address,addressable
brain,cerebral
wheel,wheeled
brand,branded
envy,envious
trade,trading
velvet,velvety
void,empty
sadness,sad
athlete,athletic
sorrow,sorrowful
byte,binary
balance,balanced
process,procedural
wrong,wrong
skin,cutaneous
animal,zoological
plane,aerial
star,starry
current,concurrent
message,messaging
tax,taxing
predict,predictable
rust,rusty
output,outgoing
glory,glorious
program,programmable
switch,switchable
test,testable
farm,rural
house,domestic
age,aged
force,forceful
bone,osseous
fever,feverish
voltage,voltaic
data,detailed
sugar,sugary
grief,grief-stricken
second,secondary
sight,sighted
voice,vocal
sentence,sentential
Valley,Valuable
product,productive
mountain,mountainous
soul,spiritual
power,powerful
grace,graceful
mathematics,mathematical
access,accessible
sport,sportive
symbol,symbolic
weight,heavier
page,paginal
door,ajar
god,divine
organ,organic
support,supportive
algorithm,algorithmic
tree,arboreal
customer,customer-centric
art,artistic
enemy,hostile
empire,imperial
progress,progressive
offense,offensive
tendency,tendentious
goal,purposive
Adventure,Adventurous
fish,piscine
Moon,Lunar
telephone,telephonic
height,high
battle,bellicose
object,objective
human,human
company,corporate
role,major
connection,connected
spring,vernal
spirit,spiritual
food,culinary
slavery,enslaved
concert,concerted
clown,clownish
climate,climatic
pride,prideful
circuit,circuitous
act,active
benefit,beneficial
motor,motored
Forest,Forested
iron,ferrous
vision,visionary
Art,Artistic
network,interconnected
amplitude,ample
fortune,fortunate
shape,morphological
brick,brick
life,living
clock,punctual
virtue,virtuous
venom,venomous
summer,estival
effect,effective
tear,lachrymal
Nature,Natural
liver,hepatic
Gloom,Gloomy
relationship,relational
future,futuristic
skull,cranial
saint,saintly
trust,trustworthy
Sea,Marine
angel,angelic
detail,detailed
trophy,triumphant
power,potent
magic,magical
business,businesslike
bravery,brave
sordor,sordid
taste,palatable
siren,sirenlike
brass,brassy
miracle,miraculous
bacteria,bacterial
minute,minutely
morning,matutinal
religion,religious
craft,crafty
league,federated
guilt,guilty
king,royal
team,team-oriented
Fog,Foggy
enticement,enticing
substance,substantial
research,researchable
dimension,dimensional
Fear,Fearful
branch,branching
technology,technological
leather,leathery
awe,awesome
audacity,audacious
control,controllable
soul,soulless
length,long
quest,searching
trauma,traumatic
Nation,National
time,temporal
honor,honorable
cat,catlike
biology,biological
knowledge,knowledgeable
group,grouped
roof,roofed
economy,economical
obsession,obsessive
sue,suable
need,needed
insect,insectile
value,valuable
Frost,Frosty
ugliness,ugly
input,incoming
theory,theoretical
ocean,marine
place,spatial
position,positional
bamboo,bambuseous
money,moneyed
use,useful
moon,lunar
impact,impactful
order,orderly
cinema,cinematic
battle,combative
touch,tactile
dog,doggish
tribe,tribal
bed,bedded
father,paternal
cloud,cloudy
town,towny
fool,foolish
cat,feline
apple,applelike
coal,coaly
Joy,Joyful
picture,picturesque
chance,chancy
truth,true
love,beloved
season,seasonal
source,sourced
legend,legendary
war,wartorn
tax,fiscal
grief,griefless
density,dense
job,occupational
email,electronic
fraction,fractional
sculpture,sculptural
reward,rewarding
book,bookish
rebel,rebellious
king,regal
care,caring
mint,minty
dirt,dirty
temperature,temperate
Ocean,Oceanic
insect,insecticidal
Lake,Lacustrine
shadow,shadowy
fashion,fashionable
air,airy
sound,sonic
Courage,Courageous
horizon,horizontal
ambition,ambitious
history,historic
ground,groundless
copper,cuprous
home,homeless
scheme,schematic
chrome,chromic
stretch,stretchy
pity,pitiful
task,challenging
game,gameful
system,systemic
betrayal,treacherous
chromosome,chromosomal
bottom,lower
cable,cabled
Devil,devilish
state,stated
administration,administrative
tooth,dental
plague,plagued
woman,womanly
component,constituent
triangle,triangular
height,towering
figure,figurative
camera,photographic
judgment,judgmental
dream,dreamlike
fear,fearful
base,basic
water,aqueous
molecule,molecular
scholar,scholarly
continent,continental
theater,theatrical
lie,false
side,sideways
ban,banned
coffee,caffeinated
law,lawless
principle,principled
surprise,surprising
step,stepped
vegetable,vegetarian
vibration,vibratory
door,doored
Fire,Fiery
drip,dripping
goal,targeted
weight,weighted
justice,just
frequency,frequent
thrill,thrilling
satan,satanic
library,librarian
side,lateral
matter,material
trouble,troublesome
call,calling
mammal,mammalian
budget,budgetary
copper,copperish
attraction,attractive
shape,shaped
road,paved
Wind,Windy
era,era-defining
self,selfish
snack,light
skill,skillful
critique,critical
patient,patient
material,matter
robot,robotic
song,lyrical
game,playful
room,spacious
grass,grassy
silver,silvery
question,questionable
doctor,medical
size,sizely
author,authorial
tale,telling
pleasure,pleasing
rage,raging
Bronze,Bronze
Beauty,Beautiful
style,stylistic
family,familiar
present,presently
leaf,leafy
decision,decisive
state,stately
lead,leaden
mother,maternal
color,colorful
spectrum,spectral
humility,humble
idea,original
weight,heavy
water,watery
story,storied
invention,inventive
anger,enraged
perception,perceptive
experiment,experimental
part,partial
wool,wooly
Health,Healthy
art,artful
horror,horrific
roof,roofless
finance,financial
device,gadgety
debt,debt-ridden
software,digital
society,social
shape,geometric
data,informational
cowardice,cowardly
road,traveled
heroism,heroic
love,loveless
goal,intentional
drink,hydrated
mouth,oral
computer,computerized
poem,poetic
God,godly
intention,intentional
government,governmental
cure,curable
sensor,sensory
pity,piteous
wax,waxy
desert,arid
cotton,cottony
notice,noticeable
book,scholarly
curse,cursed
lover,loving
distress,distressful
day,diurnal
foot,footed
ego,egoistic
path,pathetic
speed,speedy
suit,suitable
eye,optic
honesty,honest
fabric,fabricated
annoyance,annoying
skill,skilled
friendship,neighborly
comedy,comical
love,lovely
dogma,dogmatic
Country,Rural
bridge,bridgeable
thickness,thick
game,game-like
stress,stressful
problem,problematic
farm,farmed
courage,courageous
comfort,comfortable
Child,Childlike
baby,babyish
comedy,comedic
plan,planned
Mud,Muddy
giant,gigantic
insect,entomological
air,aerial
success,successful
machine,mechanical
fruit,fruity
poetry,poetic
safety,safe
boat,nautical
peak,apical
crime,criminal
design,designed
vice,vicious
flavor,flavorful
policy,political
money,monetary
sign,symbolic
weapon,armed
flag,flagging
fruit,fruiting
weapon,offensive
joke,joking
freedom,free
parable,parabolic
period,periodic
artist,artistic
pride,proud
land,landlocked
stress,stressed
death,deceased
hell,hellish
growth,growing
reality,realistic
cause,causative
joy,joyful
birth,natal
answer,resolute
despair,despairing
plant,plantlike
volume,voluminous
scream,screaming
steel,steely
message,messianic
satire,satirical
mosaic,mosaicked
jungle,tropical
suspense,suspenseful
team,collaborative
equation,equitable
irony,ironic
lake,lacustrine
job,workaday
texture,textural
tool,instrumental
Love,Lovely
theatre,theatrical
Hero,Heroic
limb,limber
rule,regulatory
lie,lying
sleep,dormant
folly,foolish
temper,temperate
project,projected
cell,cellular
greed,greedy
sequence,sequential
queen,queenly
burden,burdensome
name,named
grace,gracious
war,martial
heart,heartfelt
chance,chanceful
alarm,alarming
soul,soulish
pressure,pressurized
fuss,fussy
catastrophe,catastrophic
rhythm,rhythmic
Friend,Friendly
summer,summery
stone,stony
structure,structural
data,digital
pressure,pressured
wind,windiest
prince,princely
sting,stingy
end,ending
storm,stormy
blame,blamable
limb,limbed
plain,plain
Rain,Rainy
building,structural
parody,parodic
Truth,True
aim,aimless
painting,painterly
example,exemplary
trust,trusting
ease,easy
River,Riverine
quark,quirky
option,optional
threat,threatening
plastic,plastic
nerve,neural
wisdom,wise
delight,delightful
emerald,emerald
punishment,punishable
zipper,zippered
spider,spidery
room,roomy
report,documented
work,busy
volume,volumetric
change,changeable
sector,sectoral
butter,buttery
paragraph,wordy
romance,romantic
spring,springlike
weight,weighty
truth,truthful
east,eastern
corner,cornered
car,automotive
dance,dancelike
read,reading
data,factual
window,windowed
Despair,Despairing
structure,architectural
ballad,balladic
taste,tasteful
alcohol,alcoholic
fruit,fruitful
challenge,challenging
leader,authoritative
texture,textured
fun,funny
building,architectural
country,national
game,gamey
fabric,textile
adult,mature
light,bright
Water,Aquatic
process,processed
library,literary
scope,broad
lace,lacy
argument,argumentative
century,centennial
marble,marbled
beginning,incipient
sport,athletic
job,vocational
life,alive
eye,eyed
rubber,rubbery
bird,avian
building,built
feeling,feelingless
force,forcible
cloth,cloth
country,rustic
resistance,resistant
Anger,Angry
apex,apical
widget,widgety
tradition,traditional
meal,filling
dance,kinetic
family,familial
nation,nationalistic
result,resultant
linen,linen
island,insular
outrage,outrageous
nose,nasal
earth,terrestrial
target,targeted
dance,danceable
bloom,blooming
function,functional
body,bodily
strategy,strategic
website,online
window,fenestrated
thought,thoughtless
illness,sick
grease,greasy
mercy,merciful
aria,arietta
tax,taxable
minute,minute
lava,igneous
dream,dreamy
armor,armored
fiction,fictional
anger,angry
moment,momentary
photo,photographic
mist,misty
belief,believable
element,elemental
Power,Powerful
evolution,evolutionary
sun,solar
ginger,gingery
sky,aerial
center,central
book,textual
fury,furious
sermon,preachy
motion,mobile
resource,resourceful
illness,morbid
party,festive
pleasure,pleasurable
weekend,relaxing
talent,talented
speed,rapid
steam,steamy
happiness,happy
cloud,cloudless
harm,harmful
logic,logical
virus,viral
plant,herbal
second,secondhand
Star,Stellar
type,typical
end,terminal
word,verbal
fad,faddish
rage,rageful
clone,cloned
winter,hibernal
peril,perilous
gas,gassy
wit,witty
ability,able
oxygen,oxidative
rain,rainy
enthusiasm,enthusiastic
nation,national
architecture,architectural
Wealth,Wealthy
shock,shocking
charge,charged
gloom,gloomy
contempt,contemptuous
code,encoded
body,physical
beast,beastly
soldier,soldierly
honey,honeyed
brother,fraternal
muscle,muscular
defense,defensive
scent,scented
age,old
square,squared
joke,jocular
silk,silken
reaction,reactive
egg,ovular
citizen,civic
demon,demonic
thunder,thundering
state,state
economy,economic
life,vital
back,dorsal
friendship,friendly
death,dead
rigor,rigorous
illness,ill
town,municipal
egg,oval
pasture,pastoral
wonder,wonderful
vanity,vain
head,cephalic
Music,Musical
business,busy
relation,relational
Wood,Wooden
shy,shy
child,childish
dog,dogged
goal,ambitious
memory,memorable
friend,friendly
lesson,instructive
top,topped
adventure,adventurous
will,willful
Planet,Planetary
skin,dermal
origin,original
snake,serpentine
kindness,kind
sand,sandy
solution,solvable
event,momentous
night,nocturnal
luxury,luxurious
name,nameless
emotion,emotional
coward,cowardly
knowledge,learned
yearn,yearning
prison,penal
planet,planetary
bronze,brazen
passion,passionate
earth,earthy
sphere,spherical
ideal,idealistic
heart,cordial
past,passed
statue,statuesque
gravity,grave
path,uneven
Glass,Glassy
charge,chargeable
opinion,opinionated
care,careful
document,documented
rule,ruling
brick,bricky
signal,signaling
effort,effortful
labor,laborious
weather,weathered
road,roady
path,pathed
purpose,purposeful
caution,cautious
wool,woolen
table,tabular
limit,limited
genius,ingenious
tree,treelike
navy,naval
west,western
hate,hateful
ice,icy
darkness,dark
team,teamed
void,void
thought,thoughtful
village,villagelike
forest,forested
death,deadly
drink,drinkable
wood,wooden
idea,ideational
answer,answerable
work,workable
taste,gustatory
door,austenitic
symptom,symptomatic
psychology,psychological
plant,botanical
meat,carnivorous
kidney,renal
warmth,warm
chemistry,chemical
union,unified
trend,trendy
environment,environmental
eat,eating
matrix,matricial
literature,literary
brick,bricklike
wind,windswept
bee,apian
shine,shining
help,helpful
attitude,optimistic
water,aquatic
physics,physical
earth,earthen
blood,sanguine
adult,adultlike
idea,idealistic
sensor,sensitive
mask,masked
reign,regal
magnet,magnetic
person,personal
market,marketable
City,Urban
smell,odorous
hair,hairy
smile,smiley
risk,risky
signal,signal
work,working
health,healthy
thought,intellectual
fire,fiery
surprise,surprised
glass,glassy
radio,radiant
leisure,leisurely
harvest,harvestable
bug,buggy
iron,iron
motion,motionless
Sun,Solar
knowledge,wise
glue,gluey
price,pricey
ship,maritime
model,prototypical
sky,skyey
hair,hirsute
television,televisual
profit,profitable
hope,hopeful
mind,mental
root,radicle
destruction,destructive
attack,attackable
area,areal
circuit,circuited
network,networked
lightness,light
spider,arachnid
melody,melodic
evil,evil
event,eventful
change,changed
decay,decaying
star,stellar
compassion,compassionate
edge,edged
equation,equal
quality,qualitative
era,eraesque
button,buttoned
competition,competitive
silence,silent
leader,executive
world,worldwide
laugh,laughable
passivity,passive
region,regional
society,societal
man,manly
reflection,reflective
fantasy,fantastic
industry,industrial
bread,doughy
memory,memorial
breast,mammary
vegetable,vegetable
death,lethal
mode,modal
tongue,lingual
revolution,revolutionary
fact,factual
business,commercial
signal,signature
task,tasking
money,financial
heart,hearty
soil,soiled
temperature,thermal
story,narrative
cancer,cancerous
garden,botanical
canvas,canvassed
fish,fishy
hand,manual
train,railway
mission,purposeful
river,riverine
anxiety,anxious
photograph,photographic
film,filmic
election,electoral
dog,canine
phase,phasic
gift,gifted
tree,dendritic
artifice,artificial
stomach,gastric
Hope,Hopeful
past,past
nebula,nebulous
drink,potable
size,sizable
time,timely
computer,digital
goal,driven
editor,editorial
wave,wavy
habit,habitual
book,literary
touch,touching
atom,atomic
hero,heroic
king,kingly
court,judicial
fright,frightening
dot,dotted
noise,noisy
bulb,bulbous
hand,handy
construction,structural
book,bibliophilic
group,collective
size,sized
front,frontal
week,weekly
riot,riotous
past,bygone
top,upper
inductance,inductive
gas,gaseous
service,helpful
goal,purposeful
blame,blameworthy
river,riparian
vehicle,vehicular
