recognize,recognizes
embrace,embraces
I deliver,He delivers
quantize,quantizes
pile,piles
warn,warns
certify,certifies
deviate,deviates
justify,justifies
mind,minds
alienate,alienates
crack,cracks
contend,contends
We spin,It spins
shine,shines
reorganize,reorganizes
I smell,She smells
I remember,She remembers
heal,heals
win,wins
personalize,personalizes
I thrive,It thrives
I report,He reports
download,downloads
upload,uploads
monitor,monitors
I terminate,She terminates
weave,weaves
commercialize,commercializes
abstain,abstains
I cry,She cries
revise,revises
We smack,It smacks
depress,depresses
curve,curves
escape,escapes
craft,crafts
flourish,flourishes
converge,converges
You chin,She chins
forge,forges
quit,quits
transmit,transmits
legitimize,legitimizes
obliterate,obliterates
acquire,acquires
hang,hangs
become,becomes
reload,reloads
start,starts
circulate,circulates
enjoy,enjoys
chill,chills
augment,augments
brand,brands
blend,blends
offer,offers
We dream,It dreams
bawl,bawls
refer,refers
I want,He wants
hunt,hunts
You are,She is
initialize,initializes
drink,drinks
torrent,torrents
box,boxes
emerge,emerges
refute,refutes
forgive,forgives
depict,depicts
wrestle,wrestles
We put,It puts
I smile,It smiles
I agree,She agrees
come,comes
calibrate,calibrates
care,cares
predict,predicts
own,owns
harbor,harbors
review,reviews
I stick,He sticks
shorten,shortens
I try,He tries
eat,eats
demolish,demolishes
I say,He says
contract,contracts
yell,yells
pant,pants
murmur,murmurs
waver,wavers
help,helps
blame,blames
track,tracks
I discover,It discovers
move,moves
I hone,It hones
channel,channels
arbitrate,arbitrates
begin,begins
fight,fights
I terrify,He terrifies
reply,replies
I play,It plays
yawn,yawns
alert,alerts
surrender,surrenders
oblige,obliges
race,races
I lick,He licks
debate,debates
merge,merges
release,releases
I fling,He flings
knee,knees
perceive,perceives
respect,respects
reproduce,reproduces
I worry,She worries
I demand,She demands
slay,slays
follow,follows
wander,wanders
You overbid,She overbids
intersect,intersects
I achieve,He achieves
reference,references
extract,extracts
prohibit,prohibits
feign,feigns
alter,alters
attack,attacks
depart,departs
We set,It sets
We revisit,It revisits
cheat,cheats
redefine,redefines
volunteer,volunteers
click,clicks
suffocate,suffocates
I subsist,He subsists
I begin,He begins
restructure,restructures
discard,discards
abolish,abolishes
evolve,evolves
I supply,He supplies
fade,fades
book,books
We listen,It listens
navigate,navigates
cook,cooks
I bid,He bids
advance,advances
confuse,confuses
absorb,absorbs
taste,tastes
cement,cements
despise,despises
expose,exposes
tape,tapes
acheive,achieves
rephrase,rephrases
multiply,multiplies
delight,delights
You take,She takes
I celebrate,It celebrates
rob,robs
compete,competes
annoy,annoys
return,returns
You talk,She talks
mitigate,mitigates
uninstall,uninstalls
remind,reminds
You wing,She wings
I establish,He establishes
I order,She orders
persuade,persuades
internalize,internalizes
proxy,proxies
damage,damages
check,checks
violate,violates
I share,It shares
expel,expels
fluctuate,fluctuates
finish,finishes
crush,crushes
I determine,It determines
retain,retains
secure,secures
decipher,deciphers
amend,amends
discourage,discourages
debug,debugs
champion,champions
catalyze,catalyzes
nurture,nurtures
fire,fires
I pursue,It pursues
weigh,weighs
animate,animates
skew,skews
reach,reaches
iterate,iterates
modify,modifies
quantitate,quantitates
pursue,pursues
deal,deals
detach,detaches
cloy,cloys
guess,guesses
educate,educates
stand,stands
terminate,terminates
neglect,neglects
graduate,graduates
cure,cures
roast,roasts
We make,It makes
I continue,It continues
speculate,speculates
I influence,She influences
inflate,inflates
You resist,She resists
poach,poaches
circle,circles
boost,boosts
corner,corners
fear,fears
You book,She books
relay,relays
drive,drives
fake,fakes
shock,shocks
parse,parses
I build,She builds
I require,She requires
insist,insists
You pacify,She pacifies
I rely,She relies
teach,teaches
I jump,He jumps
disappear,disappears
emphasize,emphasizes
pick,picks
compartmentalize,compartmentalizes
sail,sails
exceed,exceeds
lack,lacks
profess,professes
I discover,She discovers
I walk,He walks
You nullify,She nullifies
solidify,solidifies
feed,feeds
elope,elopes
impress,impresses
struggle,struggles
distill,distills
cram,crams
stress,stresses
survey,surveys
You work,She works
grow,grows
retake,retakes
visit,visits
roar,roars
We tin,It tins
bet,bets
range,ranges
declare,declares
sob,sobs
keep,keeps
I trick,He tricks
compare,compares
excel,excels
You hush,She hushes
I apply,She applies
capture,captures
grill,grills
authenticate,authenticates
possess,possesses
persist,persists
assign,assigns
give,gives
irk,irks
trust,trusts
recollect,recollects
We hook,It hooks
bother,bothers
I state,He states
configure,configures
polish,polishes
argue,argues
decline,declines
punish,punishes
compromise,compromises
compute,computes
shirk,shirks
You took,She tooks
I dream,She dreams
instruct,instructs
disconnect,disconnects
I claim,It claims
germinate,germinates
decelerate,decelerates
stew,stews
fish,fishes
vacate,vacates
infer,infers
swim,swims
push,pushes
index,indexes
croak,croaks
govern,governs
license,licenses
please,pleases
heat,heats
scale,scales
climb,climbs
distinguish,distinguishes
zoom,zooms
surprise,surprises
page,pages
tell,tells
allow,allows
I wish,It wishes
delineate,delineates
abandon,abandons
You win,She wins
visualize,visualizes
I give,He gives
evaporate,evaporates
exit,exits
provide,provides
print,prints
I touch,He touches
negotiate,negotiates
I modify,He modifies
recline,reclines
last,lasts
classify,classifies
touch,touches
aggravate,aggravates
decorate,decorates
smile,smiles
sit,sits
hibernate,hibernates
ski,skis
make,makes
grant,grants
uplift,uplifts
hollow,hollows
lease,leases
replicate,replicates
venture,ventures
notify,notifies
face,faces
ease,eases
You audit,She audits
pull,pulls
list,lists
counter,counters
build,builds
quantify,quantifies
bake,bakes
jog,jogs
detest,detests
plan,plans
believe,believes
I clarify,She clarifies
throw,throws
appreciate,appreciates
decode,decodes
acclimate,acclimates
intend,intends
measure,measures
waste,wastes
appease,appeases
breathe,breathes
deem,deems
assess,assesses
encode,encodes
clamp,clamps
globalize,globalizes
snapshot,snapshots
name,names
I excel,He excels
deactivate,deactivates
I feel,He feels
We gush,It gushes
xray,xrays
respond,responds
serve,serves
quench,quenches
undertake,undertakes
drag,drags
calculate,calculates
include,includes
thrill,thrills
I present,She presents
occupy,occupies
spray,sprays
fill,fills
ponder,ponders
witness,witnesses
complicate,complicates
I play,He plays
consolidate,consolidates
chant,chants
bolster,bolsters
envy,envies
improve,improves
lecture,lectures
I conquer,He conquers
promise,promises
I find,He finds
mask,masks
fall,falls
rotate,rotates
prepare,prepares
rant,rants
meet,meets
intimidate,intimidates
shell,shells
assemble,assembles
I communicate,She communicates
deny,denies
You splash,She splashes
shower,showers
kneel,kneels
poke,pokes
hesitate,hesitates
stride,strides
decentralize,decentralizes
soar,soars
I rid,He rids
regulate,regulates
customize,customizes
carve,carves
ignore,ignores
I mentor,She mentors
denote,denotes
arrive,arrives
hypothesize,hypothesizes
matter,matters
correct,corrects
gravitate,gravitates
discern,discerns
outweigh,outweighs
reform,reforms
I provide,He provides
bargain,bargains
learn,learns
worsen,worsens
broadcast,broadcasts
question,questions
sculpt,sculpts
deploy,deploys
enhance,enhances
reverse,reverses
I read,She reads
frolic,frolics
jest,jests
hinder,hinders
maintain,maintains
dampen,dampens
I manage,He manages
We brush,It brushes
conclude,concludes
employ,employs
pose,poses
narrate,narrates
injure,injures
We think,It thinks
computerize,computerizes
practise,practises
I observe,He observes
invade,invades
comprehend,comprehends
muse,muses
create,creates
consume,consumes
price,prices
promote,promotes
view,views
answer,answers
mess,messes
pass,passes
I use,He uses
choke,chokes
destroy,destroys
affect,affects
We run,It runs
formulate,formulates
deface,defaces
exacerbate,exacerbates
lend,lends
We arch,It arches
distress,distresses
lie,lies
deallocate,deallocates
capitalize,capitalizes
wilt,wilts
prioritize,prioritizes
coordinate,coordinates
restrict,restricts
walk,walks
hand,hands
reduce,reduces
I collaborate,He collaborates
record,records
endure,endures
construct,constructs
focus,focuses
seek,seeks
turn,turns
split,splits
I end,He ends
I comply,It complies
fell,fells
I succeed,It succeeds
inspire,inspires
while,whiles
arise,arises
You tell,She tells
trigger,triggers
sadden,saddens
take,takes
hydrate,hydrates
disturb,disturbs
I love,He loves
bless,blesses
benefit,benefits
uphold,upholds
I see,She sees
vex,vexes
cause,causes
simulate,simulates
