feather,lightness
Wallet,Finance
spectrum,diversity
oven,output
soap,integrity
country,nation
Cave,Solitude
frame,perspective
table,gathering
Chain,Restraint
Mailbox,Correspondence
saucepan,development
wine,celebration
Zoo,Biodiversity
compass,guidance
tree,growth
landscape,environment
Letter,Communication
rain,renewal
camera,perspective
basket,resource
phone,connection
Scale,Proportion
treasure,value
field,opportunity
bed,comfort
xylophone,harmony
armor,defense
instrument,tool
constitution,foundation
glue,adhesion
voice,communication
Screen,Access
ocean,freedom
rhythm,sequence
image,perception
Stone,Resilience
university,scholarship
signal,transmission
Veil,Concealment
Radio,Broadcasting
gate,opportunity
heart,affection
chord,unity
letter,communication
yardstick,standard
arrow,direction
Sun,Energy
equation,solution
Knife,Sharpness
quill,literacy
perfume,essence
Radio,Communication
color,aesthetic
compass,navigation
network,system
spoon,sustenance
lock,security
tree,nature
signal,intention
Stage,Performance
shield,defense
anchor,stability
chain,constraint
candle,reminiscence
volume,amplitude
Rope,Unity
scepter,power
Food,Sustenance
wheel,momentum
Throne,Power
shield,protection
Ball,Play
dream,inspiration
string,connection
book,knowledge
star,ambition
bicycle,transportation
song,emotion
carpet,welcome
bed,rest
Medicine,Health
monument,legacy
Rope,Dependence
motif,theme
key,freedom
Apple,Nutrition
pattern,design
Rule,Order
quill,expression
canvas,expression
Dress,Presentation
fork,necessity
Island,Isolation
Shield,Defense
Trophy,Achievement
statue,monument
star,guidance
substance,content
Chain,Restriction
Pillar,Support
nest,family
evidence,truth
instrument,facility
lever,influence
Dress,Appearance
job,purpose
Feast,Abundance
color,individuality
Crown,Authority
Epilogue,Summary
cage,confinement
Oar,Agency
light,hope
Wheel,Progress
Blanket,Comfort
kite,aspiration
armor,invulnerability
Weapon,Aggression
desert,isolation
formula,framework
island,separateness
oil,energy
Debt,Obligation
file,order
cloud,ambiguity
Arrow,Direction
Spoon,Nourishment
Dice,Chance
bird,freedom
Bell,Attention
recipe,tradition
Ladder,Advancement
sun,vitality
bin,disposal
race,competition
valley,humility
frame,structure
vehicle,transportation
plug,connection
clay,potential
path,choice
terminal,endpoint
variable,influence
Battery,Energy
dress,dignity
nest,home
computer,information
Gift,Generosity
Echo,Resonance
wind,change
circuit,interconnection
net,network
map,direction
Balloon,Celebration
experiment,analysis
movie,experience
punch,insertion
rope,connection
Voice,Communication
flag,loyalty
thread,unity
Water,Life
plate,provision
formula,recipe
hammer,progress
story,culture
analysis,understanding
Recipe,Process
archive,memory
cliff,danger
story,identity
dice,chance
leaf,fragility
Home,Comfort
Stethoscope,Health
color,art
button,control
sword,power
tent,shelter
Needle,Precision
leaf,cycle
Code,Algorithm
monument,history
Paint,Expression
letter,correspondence
shield,safety
rose,romance
scale,balance
ball,playfulness
Clock,Inevitability
ocean,vastness
jewel,luxury
desk,organization
house,security
Recipe,Guidance
needle,precision
channel,communication
rope,support
dance,expression
globe,community
letter,message
lens,perspective
Dance,Celebration
Pencil,Education
door,access
fabric,texture
data,information
circuit,function
theatre,drama
corner,limitation
globe,totality
Quilt,Integration
Brick,Construction
genome,blueprint
ocean,infinity
Xylophone,Harmony
honey,sweetness
sphere,universe
book,wisdom
Quiver,Resource
Weapon,Defense
pattern,order
dream,imagination
wind,influence
Mountain,Challenge
dustpan,restraint
Tool,Skill
photograph,memory
window,outlook
artifact,memory
fruit,nourishment
plow,creation
Letter,Correspondence
Empty box,Disappointment
cell,potential
Envelope,Secrecy
card,affection
bandage,healing
capital,governance
diary,recollection
balloon,aspiration
Leash,Control
prize,recognition
Prison,Confinement
chair,comfort
chocolate,indulgence
Tree,Growth
mirror,authenticity
Scale,Justice
sculpture,expression
heart,love
box,restraint
gear,mechanism
Compass,Navigation
Net,Capture
seed,hope
poem,beauty
battery,energy
cage,captivity
island,isolation
texture,detail
panel,division
voice,freedom
wire,transmission
game,entertainment
prism,diversity
target,goal
pillow,tranquility
Sack,Provision
globe,interconnectedness
Knife,Survival
portrait,character
instrument,music
taste,preference
Watch,Time
Garden,Cultivation
movie,story
node,intersection
soil,growth
star,inspiration
ritual,tradition
song,expression
house,comfort
Ink,Communication
border,limitation
lighthouse,hope
Money,Wealth
Calendar,Planning
wheel,movement
stone,resilience
change,transformation
peak,achievement
volume,depth
river,change
Puzzle,Mystery
blueprint,design
syntax,structure
candle,illumination
photo,moment
algorithm,solution
Toy,Innocence
road,journey
pixel,resolution
lamp,enlightenment
desk,work
brick,building
Blank page,Creativity
gate,access
dress,status
gift,affection
Watch,Punctuality
particle,substance
maze,confusion
stone,stability
tapestry,complexity
Bubble,Ephemeral
Pencil,Expression
Paper,Recording
fire,destruction
feather,freedom
algorithm,method
thread,connection
chair,rest
chair,convenience
Key,Freedom
system,integration
Ink,Record
court,justice
Herb,Healing
tone,sentiment
program,intent
Stone,Strength
tool,capability
Flower,Beauty
crown,authority
arrow,purpose
compass,direction
Yarn,Story
Diamond,Luxury
watch,urgency
collage,fusion
Tower,Ambition
sound,resonance
money,wealth
key,access
Lens,Focus
shoe,journey
magnet,attraction
Wall,Security
song,feeling
chain,commitment
pyramid,power
house,home
paper,document
tray,concession
prize,achievement
Light bulb,Inspiration
Cloud,Dream
Weight,Burden
Pen,Literacy
scissors,seperation
story,narrative
calendar,time
voyage,discovery
photo,memory
Code,Cryptography
Anchor,Stability
light,understanding
image,impression
cave,refuge
ladder,progression
Telephone,Communication
Contract,Agreement
Telephone,Conversation
Chain,Dependency
dance,joy
sofa,support
Drug,Medicine
album,recollection
diamond,perfection
garland,achievement
star,destiny
Rock,Strength
honey,kindness
paper,record
seed,potential
Book,Knowledge
currency,economy
signature,validation
Clock,Time
weapon,power
hourglass,transience
Cup,Reception
cloud,vague
water,adaptability
Gear,Mechanism
plate,nourishment
scales,justice
tissue,hygiene
globe,worldview
Dress,Fashion
heart,emotion
wall,security
Signature,Commitment
ticket,opportunity
brick,structure
bread,sustenance
Gavel,Authority
desert,emptiness
Signal,Caution
Game,Strategy
map,strategy
Net,Support
mountain,ambition
Photograph,Memory
ocean,mystery
Hammock,Relaxation
mirror,introspection
message,impact
Mask,Deceit
Quill,Creativity
stair,elevation
Computer,Innovation
Fence,Boundary
camera,memory
balance,equity
flag,allegiance
grass,nature
desk,administration
mask,secrecy
room,privacy
Bed,Rest
mask,role
bridge,collaboration
corner,perspective
experiment,testing
toy,playfulness
dream,hope
Shadow,Mystery
fruit,result
Heart,Love
scales,balance
Glass,Fragility
carpet,luxury
moon,mystery
telescope,insight
fire,energy
Brick,Foundation
honeycomb,organization
kite,freedom
Pencil,Creativity
knot,commitment
Rope,Support
pattern,regularity
Song,Emotion
effect,consequence
water,life
artist,creativity
palette,inspiration
energy,vitality
seedling,beginnings
Painting,Representation
Faucet,Provision
mountain,aspiration
dress,impression
anchor,steadfastness
Microphone,Voice
Painting,Creativity
cause,origin
scroll,history
Light,Hope
lake,tranquility
prison,confinement
bottle,containment
tree,strength
Ice,Coldness
space,dimension
angle,dimension
song,joy
Feather,Freedom
market,commerce
Statue,Ideology
waveform,vibration
wall,defence
Voice,Expression
Game,Entertainment
clock,patience
screen,interface
Hat,Identity
box,limitation
well,resourcefulness
anchor,reliance
scale,justice
army,security
diagram,understanding
stone,strength
clothing,fashion
key,solution
footprint,legacy
Food,Nourishment
Shoe,Progress
Wall,Barrier
brush,cleanliness
Building,Institution
Umbrella,Shelter
molecule,building
root,foundation
code,instruction
Ocean,Boundlessness
Mosaic,Intergration
Kite,Ambition
song,inspiration
Eraser,Forgiveness
square,fairness
scales,fairness
garden,cultivation
Lock,Privacy
Magnet,Attraction
Wheel,Movement
shape,structure
Joke,Humor
program,procedure
Ocean,Limitlessness
game,strategy
Map,Guidance
Rain,Renewal
statue,ideal
Clock,Schedule
structure,organization
shadow,darkness
Flag,Loyalty
path,progress
branch,extension
storm,chaos
matter,significance
net,collection
garden,growth
Belt,Discipline
punishment,consequence
Towel,Cleanliness
code,expression
matrix,context
Puzzle,Problem
planet,harmony
bell,communication
brain,intellect
frame,limitation
tape,sealing
song,harmony
telescope,foresight
River,Flow
siren,alert
play,drama
medication,cure
paradox,conflict
Signal,Communication
switch,choice
story,history
bucket,capability
pendulum,balance
tool,method
waveform,frequency
pixel,nuance
model,representation
Hourglass,Fleetingness
education,knowledge
seedling,growth
door,entry
net,connection
lesson,understanding
pen,writing
building,architecture
Mirror,Truth
Light,Enlightenment
window,openness
Fire,Passion
vessel,containment
ball,energy
copy,imitation
color,emotion
needle,repair
network,infrastructure
Factory,Production
Garland,Honor
Dream,Imagination
melody,emotion
theater,performance
telephone,communication
scroll,preservation
hypothesis,assumption
Plant,Growth
temple,spirituality
Jewel,Value
mirror,truth
curtain,confidentiality
module,function
bag,responsibility
cloud,mystery
Seed,Potential
Tree,Nature
molecule,structure
ring,commitment
hourglass,urgency
